feature,dtype,role,missing_pct,unique_count_in_audit_sample,dominant_value_pct,zero_pct,skewness,initial_action,reason
stream,int64,matching_metadata,0.0,11778,5.806,2.08,2.1356717598976642,metadata_only,Keep for matching/grouping; exclude from the default Phase 2 matrix.
src_mac,str,matching_metadata,0.0,83,26.651000000000003,,,metadata_only,Keep for matching/grouping; exclude from the default Phase 2 matrix.
dst_mac,str,matching_metadata,0.0,99,29.747,,,metadata_only,Keep for matching/grouping; exclude from the default Phase 2 matrix.
src_ip,str,matching_metadata,3.9834378961018913,1170,13.099175283627076,,,metadata_only,Keep for matching/grouping; exclude from the default Phase 2 matrix.
dst_ip,str,matching_metadata,3.9834378961018913,1256,7.853644241637711,,,metadata_only,Keep for matching/grouping; exclude from the default Phase 2 matrix.
src_port,int64,port_review,0.0,13020,19.423000000000002,5.806,-0.15698093769433502,review_or_transform,"Potential service signal, but raw port numbers are identity-like."
dst_port,int64,port_review,0.0,10565,20.596999999999998,5.806,0.5088838652440306,review_or_transform,"Potential service signal, but raw port numbers are identity-like."
inter_arrival_time,float64,numeric_candidate,0.0,99996,0.002,0.002,2.8108853122246256,keep_candidate,No immediate exclusion rule was triggered.
time_since_previously_displayed_frame,float64,numeric_candidate,0.0,29072,9.915000000000001,5.475,292.9221493404731,transform_candidate,Strong numeric skew; compare robust scaling with log transformation.
port_class_dst,int64,numeric_candidate,0.0,4,45.429,1.542,0.3248929441691674,keep_candidate,No immediate exclusion rule was triggered.
l4_tcp,int64,numeric_candidate,0.0,2,78.00200000000001,21.998,-1.3520137033319548,keep_candidate,No immediate exclusion rule was triggered.
l4_udp,int64,numeric_candidate,0.0,2,83.808,83.808,1.835536411062159,keep_candidate,No immediate exclusion rule was triggered.
ttl,int64,numeric_candidate,0.0,91,63.895,4.452,1.406516229479908,keep_candidate,No immediate exclusion rule was triggered.
eth_size,int64,numeric_candidate,0.0,1871,25.369999999999997,0.0,3.344310673518362,keep_candidate,No immediate exclusion rule was triggered.
